"Abbreviation","Remedy Name","Mental_Emotional_Themes","General_Themes","Key_Local_Symptoms","Worse_From","Better_From","Notes_Sphere"
"MICR","Micromeria douglasii (Micromeria)","Mood dulled and comfort-seeking from gastric distress; restless when colicky or bloated","Acts chiefly on stomach and bowels; flatulent colic with rumbling and griping; used traditionally as a mild febrifuge, blood purifier and tonic herb","Nausea with pain in stomach and bowels; flatulence with rumbling and colicky cramps; abdominal discomfort relieved by passing gas or taking the warm herb tea","Flatulent overloading of stomach; cold drinks or indigestible food that provoke gas and cramping","Warmth to abdomen; sipping the warm infusion; passage of flatus and stool","Simple flatulent and colicky digestive upsets; mild febrile states where a soothing aromatic digestive remedy is desired"
"MILL","Millefolium","Anxious and restless during bleeding; mental confusion with feeling as if something has been forgotten; nervous excitement in suppressed menses","Key remedy for bright red haemorrhages from many parts; continued high temperature after injuries or operations; bad effects of falls or lifting; tendency to convulsions or epilepsy from suppressed menses","Bright red, fluid bleeding from nose, lungs, uterus or bowels; haemorrhoids or uterine haemorrhage with bright red blood; haemoptysis in early chest disease; vertigo and head feels full of blood; piercing pains through head or from eyes to root of nose","Exertion and overheating during haemorrhages; suppression of menses or haemorrhoidal flow; after injuries, falls or operations","Rest and lying quietly; elevation and pressure or cool applications to the bleeding part; restoration of a natural menstrual or haemorrhoidal flow","General haemorrhagic tendencies with bright red blood, especially after injury, strain or suppression of accustomed discharges"
"MIT","Mitchella repens (Mitchella)","Nervous, dragged-down and sensitive from pelvic and bladder congestion; easily fatigued by uterine symptoms","Pelvic and bladder remedy especially in women; uterine congestion with associated bladder irritation; tendency to bright red uterine bleeding","Irritation at neck of bladder with frequent urging and dysuria; catarrh of bladder; cervix dark red and swollen; dysmenorrhoea and uterine haemorrhage with bright red blood","Pelvic congestion; exertion or standing that strains uterus and bladder; exposure to cold around pelvis","Rest; lying down; warm applications to lower abdomen and back; frequent small voiding of urine","Female pelvic complaints with accompanying bladder irritation; dysmenorrhoea and menorrhagia with bright red flow"
"MOM-B","Momordica balsamica","Irritable and restless from violent colicky pains; anxious with back and pelvic pain around menses","Acts on digestive tract and pelvic organs; intense griping colic with accumulation of flatus; painful and excessive menses; may be associated with dropsical states","Griping colic with rumbling and dragging from back to front of abdomen; pain in back and hypogastrium with profuse painful menses; labour-like pains from small of back to pelvis; accumulation of gas in splenic flexure; abdominal distension in dropsical conditions","Eating heavily or foods that promote gas; movement during colic; onset of menses with congestion in pelvis","Passing flatus and stool; onset and free flow of menses; warmth and gentle pressure over abdomen and back","Flatulent colic centred in splenic flexure with back-to-front pains; painful menorrhagia and some dropsical states"
"MORPH","Morphinum","Profound depression with irritability and fault-finding; hysterical states from shock or terror; extremely sensitive to pain yet drowsy and dreamy","Acts powerfully on nervous system, respiration and circulation; alternation of tachycardia and bradycardia; great restlessness with hyperaesthesia, twitching and convulsions; tendency to Cheyne-Stokes respiration and extreme weakness","Vertigo from least movement of head; bursting headache with sensation of being wound up and head drawn back; dry brown-violet tongue with intense nausea and vomiting on rising; diaphragmatic paresis with difficult breathing, hiccough and teasing dry cough worse at night; marked bladder paresis with slow or difficult urination; neuralgias and multiple neuritis, better from heat","Least motion especially of head; rising up; after sleep; cold air on painful parts; solids or attempts to swallow when throat is constricted; night for cough and dyspnoea","Warmth and hot applications to painful parts; hot drinks for throat; lying still with head supported; gentle position changes and quiet surroundings","Severe neuralgias, post-zoster pains and multiple neuritis; respiratory and cardiac failure states with Cheyne-Stokes pattern; bladder paresis and intense nausea or vomiting in toxic or shock states"
"MOSCH","Moschus","Hysterical, changeable, laughing and scolding by turns; anxiety with palpitation and frequent fainting; great nervousness and fear of suffocation","Hysteria and nervous paroxysms with fainting, catalepsy and globus sensations; great sensitiveness to cold air; much flatulence with abdominal distension; tension in muscles, skin and mind","Compressive pains over root of nose and vertex with vertigo as if falling; hysterical tightness and spasmodic constriction of chest and larynx with difficult breathing; asthma with intense anxiety and smothering feeling; globus hystericus; nervous hiccough; profuse urination or diabetes with sexual weakness","Cold and especially cold air; emotional excitement; eating in sensitive patients; coition in men; suppressed or disordered menses in women","Open air when not too cold; gentle rubbing or friction; loosening clothing; reassurance and quiet surroundings","Hysterical and nervous manifestations with spasmodic chest and throat constriction, globus sensations and fainting spells, especially in sensitive chilly patients"
"MUR-AC","Muriaticum acidum","Irritable, peevish and fretful; sad, taciturn and suffering in silence; weak, sliding down in bed from profound exhaustion","Septic low fevers with high temperature and extreme prostration; decomposition of fluids with offensive discharges; tendency to haemorrhages and bed-sores; acts strongly on mouth, anus and rectum with great soreness","Tongue pale, swollen, dry and leathery with deep ulcers and fetid breath; sordes on teeth and aphthous mouth; haemorrhoids bluish, hot and exquisitely sensitive so that even soft paper is painful; involuntary, offensive stools when passing urine; prolapsus ani during urination; heavy weak limbs and painful tendo-Achilles","Damp weather; before midnight; least touch or pressure on the anus or haemorrhoids; septic states with exhaustion and haemorrhage","Lying on left side; gentle cleanliness and careful local care; quiet rest in bed","Septic and typhoid-like states with profound prostration, involuntary discharges and haemorrhoids or mouth ulcers; especially where patient is too weak to move and slides down in bed"
"MURX","Murex purpurea (Murex)","Nervous, lively, affectionate women who are easily excited; great sadness, anxiety and dread; feels consciously aware of the womb all the time; heightened sexual desire with irritability if not relieved","Marked uterine congestion with bearing-down sensations; general weakness and run-down state; tendency to prolapse and enlargement of uterus with pelvic tenesmus; menses irregular, profuse, dark and clotted","Sinking, all-gone feeling in stomach; pulsation in neck of womb; feeling as if something were pressing on a sore spot in pelvis, worse sitting; uterine prolapse and displacement with sharp pains extending toward breasts; acrid, green or bloody leucorrhoea with soreness of genital parts","Sitting; standing and walking; before and during menses; slightest contact of genital parts; exertion with pelvic congestion; lying on back when uterus feels heavy","Rest; supporting pelvic organs with hand or by tightly crossing legs; lying with pelvis well supported; free menstrual or leucorrhoeal flow","Female pelvic organs; prolapse and displacement of uterus with intense bearing-down and sexual excitement in exhausted women"
"MYGAL","Mygale lasiodora","Delirious, restless and sad; fears death and feels despondent; nervous, excitable children who cannot keep still","Marked action on motor nerves with constant twitching and jerking; choreic and convulsive tendencies; great weakness with unsteady gait; nervous exhaustion after fright or strain","Rapid twitching of facial muscles with mouth and eyes opening in quick succession; head jerked to one side; grating of teeth at night; dry, parched tongue put out with difficulty; involuntary movements of limbs as in chorea","Emotional excitement or fright; attempts to keep still; night; exertion; pubertal or menstrual changes","Sleep; quiet surroundings; occupation that allows free movement; warmth and gentle rubbing of affected parts","Nervous system; chorea and spasmodic disorders, especially in excitable children with constant twitching and grimacing"
"MYOS-S","Myosotis symphytifolia (Myosotis)","Low-spirited and easily fatigued from long-standing chest illness; anxious and worried about health; dull, oppressed mental state with chronic cough","Chronic bronchitis and incipient or established phthisis; night-sweats and emaciation; tendency to profuse muco-purulent expectoration","Cough with profuse thick muco-purulent sputum causing gagging and vomiting, worse while or after eating; pain and soreness in left lung, especially lower part, painful on coughing and sensitive to percussion; troublesome night-sweats in phthisical patients","While or after eating; talking; exertion that provokes cough; night in bed; damp cold weather","Rest; lying quietly; open air when not cold; easier expectoration of mucus; light, frequent meals","Respiratory tract; chronic bronchitis and pulmonary tuberculosis with profuse expectoration and night-sweats, especially with left-lung involvement"
"MYRIC","Myrica cerifera (Myrica)","Despondent, gloomy and indifferent; easily irritated and depressed during liver trouble; mental dullness with drowsiness","Marked action on liver and mucous membranes; catarrhal jaundice with bronze-yellow skin; persistent sleeplessness in spite of drowsiness; general malaise with bad taste and offensive breath","Dull aching in region of liver with fullness and soreness; yellow, itching face and sclerotica; thick, tenacious, foul mucus in mouth and throat; tongue heavily coated with bad taste and nausea; weak sinking feeling in epigastrium, worse after eating","After eating; morning on waking; damp cold weather; mental exertion when drowsy; lying on right side","Rapid walking or moderate exercise, which relieves stomach sinking; warm drinks; gradual restoration of bile flow and stool","Liver and digestive tract; catarrhal jaundice and hepatic congestion with sluggish digestion, coated tongue and offensive mucus"
"MYRIS","Myristica sebifera","Irritable and anxious from painful inflammatory swellings; depressed and low during prolonged suppuration","Powerful antiseptic remedy for cellular tissue and periosteum; promotes and hastens suppuration in abscesses, felons and carbuncles; useful in traumatic infections and fistulous tracts","Deep-seated suppurative processes with throbbing, swelling and intense pain; felons and whitlows on fingers and toes; parotid and other glandular abscesses; fistulae and chronic discharging sinuses","Cold and damp; pressure on inflamed parts; neglect of hygiene; unchecked progression of abscess","Warm applications; free drainage of pus; timely opening of abscess; rest of affected part","Skin, cellular tissue and bones; septic and suppurative conditions where surgery seems imminent, acting as a ‘homeopathic knife’"
"MYRT-C","Myrtus communis","Anxious and worried about chest symptoms; nervous and easily startled from heart and lung pains","Acts on mucous membranes of respiratory and urinary tracts; chest pains of consumptives; incipient phthisis; nerve sedative and antiseptic","Stitching, shooting pain in left breast running through to left shoulder-blade; dry, hollow cough with tickling in chest, worse in the morning; sensation of burning in left side of chest; bronchial irritation with difficult expectoration","Morning; taking a deep breath; talking; ascending; cold damp air","Rest; lying on painful side; warmth to chest; gentle expectoration","Respiratory organs, especially apex of left lung; early tuberculosis and left-sided chest pains with dry teasing cough"
"NAJA","Naja tripudians","Profound melancholy with sense of responsibility and guilt; feels she has neglected her duty; suicidal thoughts yet fears death; alternation of loquacity and deep depression","Acts strongly on heart, medulla and pneumogastric nerve; valvular heart disease and angina pectoris; chronic headaches and neuralgias associated with cardiac weakness; tendency to bulbar paralysis","Constriction about heart and chest as if a band were around it; palpitation with irregular, feeble pulse; pain from heart extending to nape of neck or down left arm; choking, constricted feeling in throat with inability to swallow liquids; dry teasing cough of cardiac origin","Emotional excitement or grief; lying on left side; exertion, especially going upstairs; night; after sleep","Rest; lying on right side with head high; fresh open air; gentle, slow movement","Heart and nervous system; valvular disease, angina and cardiac coughs in sensitive, conscientious patients with marked guilt and depression"
"NAPH","Naphthalinum (Naphthaline)","Stupefied, dull and restless as if under influence of a narcotic; anxiety from difficult breathing; mentally oppressed during catarrhal attacks","Acts on respiratory tract and urinary apparatus; coryza, hay-fever, chronic bronchitis, emphysema and early phthisis; irritation of kidneys and bladder; predisposition to whooping-cough","Violent spasmodic cough with difficult breathing as in asthma or whooping-cough; profuse nasal catarrh with sneezing and watery, irritating discharge; chest oppression with need to sit up; irritative symptoms of urinary passages with frequent urging or burning","Inhalation of dust or strong odors; cold air; exertion; night; exposure during hay-fever season","Fresh, moderately warm air; sitting up; freer expectoration of mucus; nasal and bronchial discharge becoming easier","Respiratory tract and urinary organs; hay-fever, asthma and chronic bronchial catarrh with irritating discharges"
"NARC-PS","Narcissus pseudonarcissus","Bewildered, confused feeling with heaviness of head; dull, stupefied mental state from gastric or toxic disturbance","Produces marked gastrointestinal irritation with collapse; sudden attacks of nausea, violent vomiting and diarrhoea; toxic effects from eating bulbs or strong preparations","Intense nausea followed by repeated violent vomiting and profuse watery diarrhoea; cramping abdominal pains with cold sweat; great prostration and faintness during attacks","After eating or drinking, especially bulbs or strong decoction; motion; cold air on surface; toxic doses","Complete rest; small sips of warm drink; gradual warming and quiet nursing during collapse","Acute toxic gastrointestinal disturbances with violent vomiting and diarrhoea and great prostration, especially from ingestion of narcissus bulbs"
"NAT-AR","Natrium arsenicosum (Natrum arsenicum)","Irritable, low-spirited and easily fatigued; mental dullness with difficulty concentrating; sensitive to tobacco smoke and close rooms","Remedy for chronic nasal catarrh and sinus trouble; headaches with pain at root of nose; dry, painful eyes; catarrhal conditions in upper air-passages of children; some affinity for psoriatic skin troubles","Frontal and supraorbital headache with pain at root of nose; watery nasal discharge dropping into throat or alternating with obstruction; dry crusts in nose which, when removed, leave raw, sore mucosa; post-nasal dropping of thick, bland, yellowish mucus; dry, painful, burning eyes with heaviness of lids and morning agglutination","Turning head quickly; pressure on forehead; tobacco smoke; slightest draught of air; wind in face; warm, close rooms","Open, fresh air; gentle motion; cleansing away crusts and mucus; cool applications to eyes","Nasal and ocular mucous membranes; chronic rhinitis and sinusitis with frontal headache and post-nasal catarrh, especially in delicate, sensitive patients"
"NAT-C","Natrium carbonicum (Natrum carbonicum)","Timid, easily hurt and anxious; avoids people yet feels lonely; oversensitive to noise, music and mental effort; sadness and exhaustion from slight causes","Weak, easily exhausted constitution; great debility from heat, sun and mental work; chronic digestive weakness with flatulence; tendency to ankle swelling and emaciation of neck","Headaches from sun or heat of summer, with confusion and dizziness; weak digestion, especially after milk or starchy food, with much gas and sour belching; soreness and weakness of small of back; swollen, weak ankles that turn easily when walking","Heat of sun or summer; mental exertion; music or noise; milk and starchy foods; draughts of air","Rest; lying down; cool open air (not windy); gentle motion; careful diet avoiding milk and excess starch","Nervous and digestive systems; sun headaches, chronic flatulent dyspepsia and weakness from heat or mental strain in delicate, oversensitive patients"
"NAT-HCHL","Natrium hypochlorosum (Natrum chloratum)","Depressed and apathetic during septic or toxic states; anxious and restless when throat or glands are affected","Antiseptic, disinfectant action on blood and glands; low septic states with offensive discharges; inflammatory and ulcerative conditions of mouth and throat; glandular enlargement","Raw, sore, ulcerated throat with burning and foetid breath; swollen cervical glands; offensive, thin or purulent discharges from nose, throat or wounds; great prostration with cool, clammy skin","Septic surroundings; exertion; night; cold damp air on throat and glands","Rest; fresh, well-ventilated air; gentle local cleansing and warm applications","Septic and glandular sphere; foul ulcerations of mouth and throat, swollen glands and offensive discharges in low, exhausted states"
"NAT-M","Natrium muriaticum (Natrum muriaticum)","Reserved, serious and sensitive; dwells long on grief and past hurts; consolation aggravates; easily offended yet avoids showing emotion; desire for solitude with silent sadness","Anaemic, emaciated, dry constitutions; great dryness of mucous membranes; tendency to periodic complaints and headaches; aggravation from sun and sea-side; craving for salt; weakness and sinking about 10–11 a.m.","Bursting or hammering headaches as if thousands of little hammers were knocking, especially 10–11 a.m., worse sun; vesicular eruptions and cracked, herpetic lips and corners of mouth; mapped tongue; constipation with stool like small dry balls; difficult, interrupted urine flow; backache as if broken","Consolation; sun and heat; sea-air; mental exertion; talking; 10–11 a.m.; lying down; after exertion","Open, cool air; rest; tight band or pressure around head; sweating; being alone and quietly occupied","Nervous system, blood and mucous membranes; chronic headaches, anaemia, herpes, constipation and sequelae of grief in reserved, salt-craving patients"
"NAT-N","Natrium nitricum (Natrum nitricum)","Low-spirited, easily discouraged and anxious about heart and breathing; sadness with tendency to weep; sluggish mind in anaemic states","Acts on heart, blood and respiratory organs; anaemia with palpitation; emphysematous, asthmatic and cardiac dyspnoea; tendency to morning cough and easy fatigue","Palpitation with breathlessness on walking or going upstairs; oppression of chest as if lungs could not expand fully; morning cough with mucous expectoration; tendency to nosebleed and easy bruising; pulsations felt in various parts of body","Exertion, especially ascending; emotion; early morning on waking; lying on left side; warm, close rooms","Rest; sitting quietly; cool, fresh air; lying with head and chest raised","Heart and respiratory sphere; anaemic, short-of-breath patients with palpitation, morning cough and chest oppression"
"NAT-P","Natrium phosphoricum","Anxious, fretful, especially in children; irritable and oversensitive when digestion is upset; mental dulness and tiredness after meals","Remedy for lactic and uric acid conditions; sour stomach, acidity and heartburn; rheumatic and gouty manifestations from excess acid; worms and urinary phosphates; yellow, creamy secretions","Sour eructations and vomiting; creamy, yellow coating at back of tongue; acid diarrhoea with sour smell, especially in children; joint pains and stiffness from uric acid; threadworms and itching at anus; smarting, burning of urethra with phosphates in urine","Fatty or sugary food; milk; over-eating; mental exertion after meals","Light, simple diet; avoiding sweets and fats; rest after eating; warm drinks","Digestive and metabolic sphere; acid dyspepsia, worms, uric-acid rheumatism and conditions with yellow, creamy coatings or discharges"
"NAT-S","Natrium sulphuricum (Natrum sulphuricum)","Gloomy, irritable, inclined to commit suicide but restrains from sense of duty; depression and aggravation in damp, cloudy weather; children seem dull and obstinate","Hydrogenoid constitution; ailments from living in damp houses or near water; bilious, hepatic and intestinal troubles; tendency to asthma and loose morning stools; complaints after head injury","Asthma and dyspnoea in damp weather or early morning, must sit up and hold chest; loose, gushing stool on rising in morning; bilious attacks with headache and nausea; soreness in liver region; warts and condylomata; aggravation of old injuries, especially to head","Damp, rainy weather; living in cellars or basements; lying on left side; early morning; music; after concussion or head injury","Dry, warm climate; open air when dry; changing to higher, less damp environment; moving about gently","Liver, intestines, respiratory tract; damp-aggravated asthma, bilious diarrhoea and sequelae of head injury in hydrogenoid constitutions"
"NAT-SAL","Natrium salicylicum (Natrum salicylicum)","Irritable, depressed and confused; noises in head make thinking difficult; anxious from vertigo and ear symptoms","Acts on auditory nerve, circulation and serous membranes; vertigo with tinnitus; Menière-like syndromes; rheumatic and influenza-like states with high temperature and aching","Severe vertigo with roaring, buzzing or ringing in ears; deafness or impaired hearing associated with tinnitus; throbbing headaches with fullness; high fever with aching limbs as in influenza; rheumatic pains in joints and muscles","Noise, especially loud or sudden; rapid movement; turning head; exertion; mental effort when vertiginous; bright light","Quiet, dark room; lying still with head slightly raised; cool applications to head; gradual movement","Auditory and nervous system; vertigo, tinnitus and deafness of Menière type, and rheumatic or influenza-like conditions with bursting head and noise in ears"
"NICC-MET","Niccolum metallicum (Niccolum)","Irritable, depressed and oversensitive; mental exertion quickly exhausts; periodic dullness and sadness alternating with headaches","Anaemic, weak subjects with periodic headaches and neuralgias; complaints recurring at regular intervals; digestive disturbances with much flatulence; laryngeal affections in speakers and singers","Frontal or supraorbital headaches returning periodically (often every two weeks), worse from mental work and piano-playing; coryza and catarrh alternating with headache; pressure and soreness in larynx from talking or singing; weakness and trembling of limbs from slight exertion","Mental exertion; playing piano or reading; talking or singing; afternoon and evening; change of weather","Rest; lying quietly in dark room; open air; cessation of mental and vocal strain","Nervous system and mucous membranes; periodic headaches, catarrh and laryngeal strain in anaemic, overworked individuals"
"NICC-S","Niccolum sulphuricum","Low-spirited and easily irritated; mental weariness in those who work indoors or with metals and chemicals","Acts on mucous membranes and skin; chronic catarrhal conditions; rheumatic and neuralgic pains with stiffness; aggravation from damp and cold","Stitching or aching pains in limbs and joints with stiffness; chronic catarrh of upper air-passages with thick mucus; rough, sore throat and hoarseness in speakers; eruptions or irritations of skin in workers exposed to nickel or chemicals","Damp cold weather; getting chilled; prolonged speaking or voice strain; indoor sedentary work","Warmth and dry air; rest; gentle movement to loosen stiffness","Musculo-skeletal and mucous membranes; chronic catarrh and rheumatic or occupational complaints in those exposed to metals or damp"
"NIT-AC","Nitricum acidum","Irritable, vindictive and easily offended; remembers old injuries; anxiety about health; despairing yet obstinate; great nervous sensitivity to pain","Profound action on mucous membranes, skin and outlets of body; fissures, ulcers and warts that bleed easily; offensive discharges; marked cachexia in syphilitic and mercurial histories","Ulcers and fissures of mouth, anus and genitals with splinter-like pains; painful haemorrhoids that bleed on slightest touch; deep cracks at corners of mouth or anus; acrid, foul leucorrhoea; urine strong-smelling and offensive; condylomata and warts that bleed on washing","Cold, especially damp cold; touch and pressure; night; scratching or washing affected parts; motion","Riding in a carriage or boat; warmth in general; gentle applications that protect rather than irritate; rest","Mucous membranes, skin and outlets; fissures, ulcers, warts and haemorrhoids with splinter-like pains and offensive discharges, often in syphilitic or mercurial patients"
"NIT-M-AC","Nitromuriaticum acidum (Nitro-muriatic acid)","Low-spirited, irritable and anxious; easily discouraged; mental weakness and inability for sustained effort in chronic liver disease","Acts powerfully on liver and portal system; chronic hepatic and splenic congestion; jaundice with great debility; haemorrhoids and rectal soreness; sluggish digestion with flatulence","Dull aching and fulness in liver region with sense of weight and dragging; yellow, sallow skin and conjunctiva; bitter taste and coated tongue; offensive stools with much mucus; sore, burning anus and protruding haemorrhoids; weakness and backache from slight exertion","After eating; mental or physical exertion; damp, cold weather; pressure over liver; standing or walking long","Rest; lying down; warm applications to hepatic region; gentle, slow exercise after rest","Liver and portal circulation; chronic hepatic congestion, jaundice and haemorrhoids with marked fatigue and sallow complexion"
"NIT-S-D","Nitri spiritus dulcis","Restless and anxious during febrile attacks; nervous, easily excited and irritable; mind feels hurried and over-stimulated","Acts on circulation, kidneys and skin; febrile states with alternation of chill and heat; promotes perspiration and diuresis; useful in early colds and influenzal attacks","Fever with hot, dry skin or alternation of chill and heat, thirst and restlessness; headache and fullness in head; frequent urging to urinate with increased, light-coloured urine; slight burning or smarting in urinary passages","Night; becoming chilled; sudden changes from warm to cold; suppression of perspiration or urine","Free perspiration; warm covering; increased flow of urine; rest in bed during fever","Circulation and urinary tract; early febrile and catarrhal states where gentle diuretic and diaphoretic action is needed"
"NUPH","Nuphar luteum","Depressed, sad and apathetic; gloomy and indifferent to life; in men, mental depression from loss of sexual power or long excesses","Marked action on male sexual organs and digestion; complete loss of sexual desire and power; great physical prostration; morning diarrhoea with sinking at epigastrium","Total absence of sexual desire and erections in men; relaxed, cold genital organs; morning, painless, yellow or watery diarrhoea with great weakness; sinking, empty feeling at stomach; dragging sensation in hypogastrium","Sexual excesses or abuse; mental worry about sexual weakness; morning on rising; exertion","Rest; abstinence from sexual excitement; lying quietly; simple, easily digested food","Male sexual sphere and digestion; impotence and prostration with morning diarrhoea and sinking gastric feeling"
"NUX-M","Nux moschata","Drowsy, dreamy, absent-minded; very changeable moods, laughing then weeping; hysterical, whimsical, oversensitive; feels everything is unreal or as if in a dream","Extreme dryness of mucous membranes; tendency to faintness and collapse; nervous and hysterical states especially in women and during pregnancy; bloating and flatulent colic","Mouth and tongue intolerably dry yet no thirst; inclination to faint on least exertion or emotion; distended, tympanitic abdomen with colic and rumbling; sleepy, heavy feeling with inability to keep eyes open; irregular, suppressed or painful menses with hysterical symptoms","Cold air; emotional excitement; fatigue and loss of sleep; pregnancy; after eating; motion or exertion","Warmth; lying down and keeping very quiet; gentle pressure on abdomen","Nervous system and mucous membranes; hysterical, fainty states with extreme dryness, sleepiness and flatulent distension"
"NUX-V","Nux vomica","Irritable, impatient, oversensitive to noise, light, odours and contradiction; ambitious, driven persons who overwork, overindulge in coffee, alcohol or rich food; anger and vexation easily excite","Spasmodic, gastric and portal remedy; sluggish liver and bowels; tendency to cramp and spasm in digestive and nervous systems; great chilliness and aggravation in morning; sedentary life with high living","Ineffectual urging to stool with frequent small, scanty evacuations and feeling of incomplete relief; gastric catarrh with heartburn, sour or bitter eructations and nausea, especially in the morning; headache as if a nail driven into head, from stomach disorder; haemorrhoids that itch, burn and protrude; cramps and spasms in various parts","Morning on waking, especially about 3–4 a.m.; after eating or overeating; coffee, alcohol, tobacco; mental strain; cold air and draughts; after anger or excitement","Rest; warmth, especially external; in the evening; after a good stool or free discharge; short sleep after meals","Digestive and nervous systems; dyspepsia, constipation, portal congestion and spasmodic complaints in irritable, overworked, high-living individuals"
"NYCT","Nyctanthes arbor tristis","Low-spirited, dull and despondent; irritable and restless during attacks; mind feels heavy and oppressed in bilious or malarial states","Acts on liver, intestines and joints; bilious and malarial fevers; jaundice; rheumatic pains; complaints with early morning aggravation and marked chilliness","Headache with heaviness and vertigo in bilious fevers; pain and tenderness in right hypochondrium; bitter taste with nausea and bilious vomiting; loose, offensive stools with much bile; aching in back and limbs as if bones were bruised; rheumatic pains in joints during or after fever","Early morning; cold, damp air; chilling; during chill and fever stages; after rich or greasy food","Warmth; rest; gentle perspiration; free bilious stool and urine","Liver and malarial sphere; bilious fevers and jaundice with bone and joint pains, especially where attacks begin in early morning"
"OCI","Ocimum canum","Very irritable, restless and excitable; children cry and scream with urinary or colicky pains; anxious from violent renal colic","Marked action on kidneys, ureters and bladder; renal and biliary colic; gravel and uric-acid diathesis; offensive breath and disordered digestion accompanying urinary troubles","Intense right-sided renal colic radiating to groin and testicle or labium; urine scanty, high-coloured with red sand or brick-dust sediment; constant urging with cutting and burning in urethra; nausea, vomiting and abdominal distension during attacks; offensive breath and coated tongue","Right side in general; motion or jolting; night; cold drinks during colic; lying on painful side","Passing of gravel or small calculi; warm applications to lumbar region; bending forward and rest","Urinary tract; right-sided renal colic, gravel and uric-acid states with intense restlessness and irritability"
"OENA","Oenanthe crocata","Sudden onset of confusion, terror or mania; alternation of wild excitement and deep stupor; mental obscuration during or after convulsions","Violent action on brain and spinal cord; epileptiform convulsions with sudden loss of consciousness; tonic and clonic spasms; tendency to status epilepticus; post-epileptic stupor and paralysis","Sudden, violent convulsions with distortion of eyes and face, clenching of jaws and opisthotonos; frothing at mouth; involuntary stool and urine during fit; long-lasting stupor after attack with cold, clammy skin; possible local palsies or weakness after repeated seizures","Bright light; noise; fright or emotional shock; menstrual or pubertal changes; suppression of eruptions; overheating","Dark, quiet room; absolute rest; lying with head slightly raised; cool applications to head","Brain and spinal cord; epileptiform seizures and severe spasmodic nervous disorders with marked post-ictal stupor and collapse"
"OL-AN","Oleum animale aethereum (Oleum animale)","Hysterical, excitable and anxious; tendency to sudden fainting; alternate laughing, crying and sighing; fearful and easily startled","Acts on nervous system and circulation; collapse states after shock, fright or haemorrhage; hysterical paroxysms; spasmodic and convulsive tendencies; great weakness with coldness","Frequent fainting spells with cold sweat and feeble pulse; hysterical attacks with globus sensations, tightness of chest and smothering feeling; spasmodic twitchings or convulsions; great prostration after loss of fluids or emotional shock","Emotional excitement, fright or grief; loss of blood or other fluids; cold air; exertion in a weakened state","Warmth; quiet, dark room; lying flat with head low; gentle stimulation and reassurance","Nervous system and circulation; collapse, fainting and hysterical attacks after fright, shock or haemorrhage"
"OL-J","Oleum jecoris aselli","Dull, depressed and apathetic; children peevish and fretful yet listless; mental and physical backwardness in scrofulous subjects","Nutritive remedy for scrofulous and tubercular constitutions; emaciation and weakness in growing children; rickets; chronic glandular enlargement; chronic chest complaints with tendency to tuberculosis","Thin, emaciated child with large head and abdomen, weak limbs and slow dentition; enlarged cervical and mesenteric glands; chronic bronchial catarrh with teasing cough and thick expectoration; night-sweats; frequent, loose stools with undigested food; bone pains and deformities in rickets","Cold, damp climate; lack of fresh air and sunshine; rapid growth; exertion; insufficient or poor diet","Warm, dry climate; sunshine and open air; nourishing but easily digested food; rest with gradual, gentle exercise","Nutrition, glands, bones and lungs; scrofulous and tubercular states with emaciation, rickets and chronic chest catarrh, especially in children"
"OL-SANT","Oleum santali","Irritable and anxious during urination; restless from burning and frequent urging; mind preoccupied with bladder symptoms","Acts chiefly on urinary tract; catarrhal inflammation of urethra and bladder; gonorrhoeal and non-specific urethritis; chronic gleet with scanty discharge","Burning and smarting in urethra during and after urination; frequent urging with scanty, cloudy or milky urine; pain radiating along urethra into bladder or perineum; dragging in loins from urinary irritation","During and after urination; walking or motion that shakes region; taking cold; highly seasoned food and alcohol","Rest; plenty of bland fluids; warmth to lumbar and suprapubic region","Urinary sphere; acute and subacute urethritis, catarrhal cystitis and gleet with burning, frequent urging and cloudy or milky urine"
"OLND","Oleander (Nerium odorum)","Absent-minded and dreamy; memory weak for what has just been read or heard; alternation of cheerfulness and depression; oversensitive to criticism yet apathetic in duties","Acts on skin, scalp, digestive tract and heart; great weakness and drowsiness; tendency to eruptions on scalp with falling of hair; nervous and cardiac symptoms after debilitating diseases","Scalp very sensitive to touch and combing, with abundant dandruff and falling hair; painless, involuntary thin stool, especially after eating; rumbling and flatulence with great weakness; palpitation and irregular heart action with faintness and sleepiness; eyelids heavy and difficult to open","After eating; mental exertion such as reading or study; touch or combing of hair; warmth of bed; during convalescence when weak","Rest; lying quietly; cool applications to scalp; gentle occupation without mental strain","Skin, scalp, digestion and heart; hair loss with sensitive scalp, painless diarrhoea and cardiac weakness in drowsy, easily exhausted patients"
